Date,Real,Pred
2023-12-18,27.639999389648438,27.599306064926935
2023-12-19,27.299999237060547,27.255872834585816
2023-12-20,26.440000534057617,26.39034558716041
2023-12-21,27.15999984741211,27.113938429145716
2023-12-22,26.420000076293945,26.370907458979104
2023-12-26,24.760000228881836,24.70635931684096
2023-12-27,25.219999313354492,25.16505118867293
2023-12-28,26.15999984741211,26.108678683178344
2023-12-29,27.3799991607666,27.332099750271045
2024-01-02,27.940000534057617,27.896075045755197
2024-01-03,26.31999969482422,26.26618577104764
2024-01-04,26.860000610351562,26.80636647590973
2024-01-05,27.100000381469727,27.047746551338008
2024-01-08,27.6200008392334,27.5717180282178
2024-01-09,26.780000686645508,26.727241205793465
2024-01-10,27.34000015258789,27.289909921377166
2024-01-11,28.420000076293945,28.375970078462522
2024-01-12,28.5,28.459642746251642
2024-01-15,29.059999465942383,29.024794685580872
2024-01-16,28.459999084472656,28.422645022967956
2024-01-17,29.100000381469727,29.067446681002842
2024-01-18,28.579999923706055,28.54564958313716
2024-01-19,28.34000015258789,28.30355659841166
2024-01-22,28.479999542236328,28.444083630773846
2024-01-25,30.5,30.484427928085626
2024-01-26,30.68000030517578,30.668198060010834
2024-01-29,30.639999389648438,30.630113077330552
2024-01-30,30.3799991607666,30.369091351147404
2024-01-31,30.799999237060547,30.792365272758087
2024-02-01,30.68000030517578,30.672436037307275
2024-02-02,31.18000030517578,31.17754780330933
2024-02-05,31.520000457763672,31.522322989330725
2024-02-06,31.959999084472656,31.968275338073912
2024-02-07,31.3799991607666,31.38416164831498
2024-02-08,32.2400016784668,32.25174820822319
2024-02-09,32.13999938964844,32.15310889308773
2024-02-12,32.58000183105469,32.597864653096764
2024-02-13,31.440000534057617,31.44605414951226
2024-02-14,31.979999542236328,31.988378399180288
2024-02-15,33.13999938964844,33.156579281668634
2024-02-16,33.47999954223633,33.50080248805553
2024-02-19,32.34000015258789,32.35174102813057
2024-02-20,32.47999954223633,32.49160913488806
2024-02-21,31.700000762939453,31.70571379679894
2024-02-22,32.599998474121094,32.61171884907668
2024-02-23,32.29999923706055,32.310818034770556
2024-02-26,32.70000076293945,32.71368110410663
2024-02-27,31.040000915527344,31.03859240927738
2024-02-28,30.420000076293945,30.415443967357227
2024-02-29,31.8799991607666,31.88485460379485
2024-03-01,35.060001373291016,35.068824996227654
2024-03-04,34.459999084472656,34.47074929949482
2024-03-05,32.7400016784668,32.74643586151846
2024-03-06,32.599998474121094,32.60506581560908
2024-03-07,34.13999938964844,34.15283051184584
2024-03-08,33.400001525878906,33.4111179182164
2024-03-11,33.279998779296875,33.28994739077053
2024-03-12,32.31999969482422,32.32389243159528
2024-03-13,31.459999084472656,31.45869865334949
2024-03-14,31.700000762939453,31.697946745740676
2024-03-15,31.600000381469727,31.59629877728309
2024-03-18,30.1200008392334,30.107517986817115
2024-03-19,30.68000030517578,30.668747913609135
2024-03-20,30.100000381469727,30.08602901778381
2024-03-21,29.579999923706055,29.56255473074297
2024-03-22,30.059999465942383,30.04432849832801
2024-03-25,29.399999618530273,29.38063879437931
2024-03-26,28.139999389648438,28.115202366867326
2024-03-27,27.920000076293945,27.89327942438752
2024-03-28,27.920000076293945,27.891893599025206
2024-03-29,28.399999618530273,28.380738960750993
2024-04-01,28.280000686645508,28.25437171696397
2024-04-02,27.899999618530273,27.87898380279156
2024-04-03,28.020000457763672,27.992313137155257
2024-04-04,28.299999237060547,28.27435431880372
2024-04-05,29.459999084472656,29.44131637745482
2024-04-08,30.440000534057617,30.425062083759848
2024-04-09,30.700000762939453,30.688471539626505
2024-04-15,30.760000228881836,30.75066874603798
2024-04-16,30.100000381469727,30.086900311677574
2024-04-17,29.979999542236328,29.96566517233362
2024-04-18,30.079999923706055,30.065659004715982
2024-04-19,30.15999984741211,30.14614735876514
2024-04-22,31.0,30.99257354850797
2024-04-24,30.860000610351562,30.85383673112308
2024-04-25,31.579999923706055,31.578724545545718
2024-04-26,31.579999923706055,31.580620610533483
2024-04-29,30.899999618530273,30.896416653443335
2024-04-30,30.799999237060547,30.795295456923657
2024-05-02,32.31999969482422,32.327424692715255
2024-05-03,32.31999969482422,32.32941544281138
2024-05-06,32.20000076293945,32.20977707449224
2024-05-07,33.7599983215332,33.778974493878074
